Calling the Shots: How Family Courts Address the Firearms Ban in Protection Orders,"Ruth Fleury-Steiner, Susan Miller, and Ava Carcirieri","Fleury-Steiner, Ruth E., et al. “Calling the Shots: How Family Courts Address the Firearms Ban in Protection Orders.” Violence Against Women, vol. 23, no. 9, 10 July 2016, pp. 1140-51.",University of Delaware,"DV Court: Firearms, Order of Protection (OP) Statutes and Case Law",Article,Violence Against Women Journal,2016,13,"The Violence Against Women Act of 1994 banned individuals subject to a protection order from possessing a firearm. The authors conducted a study observing protection order hearings in a family court in Delaware to explore how the firearms ban is communicated to survivors and batterers. By collecting data on the type of hearing, presence of attorneys, race of petitioner and respondent, presence of children, and whether the respondent was present, the authors explore factors that impact judicial discussions of firearm bans in court.","Despite the option to have a batterer surrender firearms, judges often fail to act on this option or let victims know this option exists, leading to increased danger for victims from lethal action by batterers",.  Judges are more likely to explain the firearms ban when both parties (petitioner and respondent) are present.,Judges are more likely to explain firearm bans in consent hearings than other types of hearings.,Fleury-Steiner- Calling the Shotes: How Family (13)
Debunking the Strnager-in-the-Busges Myth: The case for Sexual Assault Protection Orders,Shawn E Fields,"Fields, Shawn E. Debunking the Stranger-in-the-Bushes Myth: The Case for Sexual Assault Protection Orders, Wisconsin Law Review 429, 2017, pp. 431-490.",University of San Diego School of Law,"dv court: enforcement, Order of Protection (OP) Statutes and Case Law",Article,Campbell University School of Law,2017,63,"This legal review compiles evidence through both statistics and nationwide statutes to argue for the existence of a kind of protection order specific to sexual assault, or a Sexual Assault Protection Order (SAPO), in every state. This review demonstrates the inadequacies of other kinds of civil protection orders to adequately provide protection to sexual assault victims, such as domestic violence restraining orders (DVROs) and civil Harassment restraining orders (CHROs). Finally, this review reveals how SAPOs can justly balance the protection of the victim from future harm and the protection of the constitutional rights of the accused through use of procedural evidence in SAPO cases.",The current criminal-legal system is woefully inadequate at providing justice and protection to victims of sexual assault because of the lack of protective orders adequate to address the specific needs of sexual assault victims in every state.,"An analysis of the existing legal landscape for orders of protection in different states, such as DVROs, CVROs, and SAPOs, reveal that only SAPOs address the unique needs of sexual assault victims justly.",SAPOs are the model statue that every state should adopt because they can provide a just balance between the protection of the constitutional rights of the accused and the protection of the victim from future harm.,Fields- Debunking the Stranger-in-the (63)
Assessing danger: What Judges Need to Know,"Corey Nichols-Hadeed, Catherine Cerulli, Kimberly Kaukeinen, Karin Rhodes, and Jacquelyn Campbell","Nichols-Hadeed, Corey et al. ""ASSESSING DANGER: WHAT JUDGES NEED TO KNOW"". Family Court Review, vol 50, no. 1, 2012, pp. 150-158. Wiley, https://doi.org/10.1111/j.1744-1617.2011.01436.x.",Mixed,"Victim Safety, DV Risk Assesments",Article,National Institute of Health,2012,13,"This was a study conducted on women who were applying for protection orders in New York. It observed the differences between violence reported on petitions for POs as opposed to violence reported after completing the Danger Assessment. After the completion of the study, the authors suggested that courts begin using the DA during the Protection Order process because it would result in a better understanding of the risk that victims face, and, therefore, lead to better protection and safety for them.","Victims can be safer after protection orders, but fifty percent of victims are unaware of the danger they could be in because they don’t have enough information about risk factors when filling out the orders",The court did not issue almost 50% of the petitions filed when the petitioner was in extreme or severe danger (determined by the Danger Assessment).,Some victims underreport risk factors in their PO petition because the questions are not straightforward or because they assume that including such information would only further harm them.,Nichols-Hadeed- Assessing Danger: What Judges Need (13)
Cultivating a Successful Future for the Integrated Domestic Violence Court in Tulsa County,"Katie Arnold, Jacob Haynes, Nick Ohmann, and Megan Waterman",,Lobeck Taylor Community Advocacy Clinic,"DV Court, ",Article,University of Tulsa,2014,39,,,,,Arnold- Cultivating a Successful Future for (39)
Overview of Domestic Violence (DV) Risk Assessment Instruments,Kristin Bechtel and Bill Woodward,"Bechtel, Kristin, and Bill Woodward. “Overview of Domestic Violence (DV) Risk Assessment Instruments (Frequently Asked Questions).” VAWnet.org, U.S. Department of Justice (DOJ), Aug. 2008, https://vawnet.org/material/overview-domestic-violence-dv-risk-assessment-instruments-frequently-asked-questions.",Unknown,"DV Risk Assessments, Victim Safety",Article,National Institute of Corresctions,2008,6,"Written in 2008, this article discusses different tools to assess DV offenders and describes the pros and cons of each. It takes into consideration how different jurisdictions may face certain limitations and provides suggestions for criteria to consider when choosing tools to use. The focus of the article is largely on which tools are recommended and the importance of recognizing “high-risk” and “low-risk” offenders.",DV offenders should be assessed using a general/violent recidivism instrument before using DV-specific instruments.,"Using a general assessment tool is important because it is difficult to identify multiple offenders, many are missed when using a DV-specific tool, and case management can be improved.",Low-risk offenders should receive different treatment than high-risk offenders because placing them in  the same treatment may lead to an increase of re-offending among low-risk offenders.,Bechtel- Overview of Domestic Violence (DV) (6)
Domestic Violence Benchbooks,Elizabeth Ling and Katie Crank,"Ling, Elizabeth and Katie Crank. Domestic Violence Benchbooks: A Guide to Court Intervention. Center for Court Innovation, New York, 2015, pp. 1-37.",CCI,"DV Court: Judicial Knowledge, Building a DV Court",Article,Center for Court Innovation,2015,40,"In response to requests from courts nationwide, the Center for Court Innovation compiled resources and created a guide and recommendations on judicial dealings with cases of domestic violence. This guide offers a succinct description of the dynamics of domestic violence, including who the victims and the perpetrators are, why and how domestic violence occurs, important outside factors that may affect the violence, and recommendations for judges. This guide compiles different domestic violence benchbooks from different states and highlights the most helpful information for judges to consider when dealing with domestic violence cases.","Because the dynamics of domestic violence are nuanced and oftentimes challenging for judges to recognize, it is important that judges have access to comprehensive information and resources, such as domestic violence benchbooks, so that they can competently judicate on domestic violence cases.","Outside considerations such as minority status, presence of children, and access to firearms should be accounted for by judges so that they can ensure the safety of the victim and the victim’s family to the best of their ability.",Short and succinct benchbooks or benchcards on domestic violence dynamics are recommended because they can provide judges with the context they need to competently assess domestic violence cases.,Ling- Domestic Violence Benchbooks (40)
Creating a Domestic Violence Court: Adapting the Model to Your Community,"Liberty Aldrich, Robyn Mazur, Christine Sisario, Rebecca Hauser, Kathryn Ford, Katie Crank, and Rebecca Arian","Aldrich et al. “Creating a Domestic Violence Court: Adapting the Model to Your Community.” Center For Court Innovation. Office on Violence Against Women., https://www.supremecourt.ohio.gov/JCS/domesticViolence/topics/DVCourts/DVCToolkit.pdf.",CCI,"Building a DV Court, dv court: judicial knowledge",Article,Center for Court Innovation,2012,72,"This toolkit goes through all of the steps that go into creating a domestic violence court. It gives a detailed description of who is involved in creating the court itself and collecting the information needed to build a successful court as well as who needs to be available at the court and who needs training on Intimate Partner Violence before beginning work. Following the article itself, it provides worksheets for anyone who is creating a court to go through and make sure you have done everything you need for each step.","In order to succeed Domestic violence courts need to create relationships with key stakeholders, such as domestic violence agencies, social service agencies, law enforcement, civil legal service providers, the defense bar, and mandated programs for offenders (i.e. community corrections, batterer education programs, substance abuse treatment providers, and mental health services).",Court planning is an ongoing process that continues once that court is functioning.,Domestic Violence training is necessary for all court staff because they could be interacting with survivors.,Aldrich- Creating a Domestic Violence Court (72)
"Firearm Removal, Judicial Decision-Making, and Domestic Violence Protection Orders",Mikaela Wallin  and Alesha Durfee,"Wallin, Mikaela, and Alesha Durfee. “Firearm Removal, Judicial Decision-Making, and Domestic Violence Protection Orders.” Violence and Gender, vol. 7, no. 1, 2020, pp. 27–32., https://doi.org/10.1089/vio.2019.0029.",Michigan State University and Arizona State University,"DV Court: Firearms, OP Statistics",Article,Violence and Gender Journal,2020,6,This article details how firearm ownership impacts Domestic Violence and what a court can do when handling a case in which the perpetrator owns or has threatened the petitioner with a firearm. The authors discuss the rate at which petitioners request orders of protection because of firearm ownership and how frequently they are granted. The importance of judges’ discretion in these cases is exemplified.,Firearm petitions are taken more seriously than other threats of physical abuse or homicide against the petitioner.,When 49.6% of petitioners for orders of protection requested firearm removal only 50.1% of those petitioners were granted relief.,"Judges do not take into consideration demographic factors, such as relationship status and gender when considering firearm removal.","Wallin- Firearm Removal, Judicial Decision-Making (6)"
Freedom From Violence: Using the Stages of Change Model to Realize the Promise of Civil Protection Orders,Jane Stoever,"Stoever, Jane K. “Freedom from Violence: Using the Stages of Change Model to Realize the Promise of Civil Protection Orders.” Ohio State Law Journal, 72:303, 2011, pp. 303-377.",Seattle University School of Law // Ohio State Law Journal,"DV Court, ",Article,Seattle University School of Law Digital Commons,2011,77,"This article spans 5 sections: the introduction, the promise of civil protection orders, the stages of the change model, protection order advancements inspired by the stages of the change model, and the conclusion. The second section demonstrates how criminal legal processes are often not trauma-informed while highlighting the strengths and weaknesses of orders of protection for survivors. The third section analyzes how the steps of the change model have positively impacted the success of orders of protection. The conclusion provides a call to action, encouraging legal environments such as courts to shift standards to accommodate the shifting and nuanced nature of violence, with emphasis on how orders of protection can address this issue.","Movement through the Stages of Change Model are cyclical rather than linear, aligning it with the Stages of Change Model.","There are three important reasons why OPs are so crucial in the legal system: they are the most used legal tool of survivors of DV/IPV, they have been proven to be effective compared to other interventions, and they promote survivor autonomy.","Based on the evidence from the Stages of Change Model, the article makes the following recommendations for legal resources: work to unlearn the misconceptions behind the question “why doesn’t the survivor leave?,” recognize that leaving the abusive situation is an on-going process, make changes to the process of obtaining OPs to make them more accessible and individualized, work to ensure greater advocate support during the process, continue advocacy and policy work, actively avoid re-victimization, reduce judge resistance and hostility surrounding OP cases, and work with survivors to enforce OPs on their terms (which may change/evolve).",Stoever- Freedom From Violence: Using the (77)
"I'm Not a Victim, She's an Abuser: Masculinity, Victimization and Protection Orders",Alesha Durfee,"Durfee, Alesha. “’I’m Not a Victim, She’s an Abuser’: Masculinity, Victimization, and Protection Orders.” Gender and Society, 25:316, 2011, pp. 316-332",Arizona State University,"DV Court: Male Survivors, ",Article,Gender and Society Journal,2011,21,"This analysis begins by introducing the impact of hegemonic masculinity on identities of victimization. It gives a brief historical overview men’s legal movements in terms of IPV to give context for the current state of legal accessibility of IPV services for men. It details the constraints of the narrative of hegemonic masculinity as well as explaining what orders of protection are. Durfee goes on to describe the study’s data and method before iterating the results of the study which found 3 main themes amongst men’s abuse narratives. In the study, men described themselves as being in control of the situation even though they were facing abuse, clarified that they were not the abuser, and did not demonstrate or describe fear of their abusive partners. The article concluded with a discussion of a gendered paradox these results display, illustrating how men seeking orders of protection might describe their experience differently from women and how these differences might impact the results of their petition.","Men seeking orders of protection face gendered challenges to accessing support and describing their experiences, dictated by a gender paradox that asserts men as constantly in control and unable to be victimized.","Male petitioners are more likely to minimize injuries, portray themselves as independent from their abuser’s violence, and are less likely to express fear of their partner, which can bias actors within the legal system against male petitioners based on societal ideas of hegemonic masculinity and perceived severity of the abuse.","In describing their abuse, men filing for orders of protection articulated their victimization according to 4 gendered themes: power and control in the relationship, claims about identity (both “victim” and “abuser), the use of violence in the relationship, and fear of the respondent.","Durfee- I'm Not a Victim, She's (21)"
Assessing Risk Factors for Intimate Partner Homicide,"Jacquelyn Campbell, Daniel Webster, Jane Koziol-McLain, Carolyn Block, et al.","Campbell, Jacquelyn C., et al. “Assessing Risk Factors for Intimate Partner Homicide.” National Institute of Justice, no. 250, Nov. 2003, pp. 14–19., https://doi.org/10.1037/e569102006-004.",Mixed,"DV Risk Assessments, Victim Safety",Article,National Institute of Justice Journal,2003,6,"Written in 2003, this article describes research done on the Danger Assessment tool and how it assesses women’s levels of danger based on their experiences with their partner. They highlight how it is important to use this assessment to help keep victims safe as high scores on the measure indicate great danger and even potentially murder. The authors further acknowledge the important of the measure by highlighting the prevalence of the issue of homicides committed by intimate partners.",The Danger Assessment tool allows women and professionals to better understand and predict future danger and plan accordingly.,Cutoff scores are critical for identifying those who are at the greatest risk of being killed and should not miscategorize those who are not likely to be killed.,"It is crucial that when considering safety planning, that the perpetrator’s access to weapons is heavily considered and that after conviction access is restricted/removed.",Campbell- Assessing Risk Factors for Intimate (6)
Patterns of Violence Against Women: Risk Factors and Consequences,Ross Macmillan and Catherine Kruttschnittt,"Macmillan, Ross, and Candace Kruttschnitt. “Patterns of Violence Against Women: Risk Factors and Consequences.” National Institute of Justice, 2005, pp. 1–51.",University of Minnesota,"DV Dynamics, ",Article,National Institute of Justice,2005,53,"Written in 2005, this report examines patterns of physical and sexual victimization over the life span and across a range of victim-offender relationships, individual risk factors for the identified patterns, and consequences of patterns for well-being and post-victimization behavior. The authors find that violent victimization is most likely from parents and partners, violent victimization is associated with alcohol and drug use, and patterned victimization is associated with a greater chance of seeking medical or psychological care. Their findings highlight the diversity in experiences of violence, the need to understand why factors produce variation in victimization, and the hope to improve victim services.",The diversity of violence against victims emphasizes the importance of breaking from the confines of expected forms of violence.,"After highlighting the risk factors, next steps need to understand the mechanisms that enable and produce patterned victimization",Recognizing variation in victim experience can help understand the costs of criminal violence and develop effective responses.,MacMillan- Patterns of Violence Against Women (53)
A Summary of Personal Protection Order Statutes in the United States,Christina DeJong and Amanda Burgess-Proctor,"DeJong, Christina, and Amanda Burgess-Proctor. “A Summary of Personal Protection Order Statutes in the United States.” Violence Against Women, vol. 12, no. 1, Jan. 2006, pp. 68–88, https://doi.org/10.1177/1077801205277720.",Michigan State University,"OP Statutes and Case Law, DV Court: Enforcement",Article,Violence Against Women Journal,2006,22,This article discusses the process of getting an order of protection and what the challenges can be both for the survivor and the court. They studied all 50 states and the District of Columbia and scored every state based on how good their Personal Protective Order statutes are. The authors discuss the process beginning with filing for an order to working with law enforcement in order to enforce the order.,"Order of protection are court-ordered injunctions designed to restrain an individual’s use of physical violence, threats, or intimidation against another person.",Filling fees can be an obstacle in the process of getting an order of protection because survivors can be financially dependent not being able to pay a fee themselves or if the fee is supposed to be paid by the respondent the petitioner could be in danger of retaliation.,Mutual order of protection puts the petitioner at higher risk of being prosecuted for the perpetrator’s abuse.,DeJong- A Sumary of Personal Protection Order (22)
"Protection Orders and Intimate Partner Violence: An 18-Month Study of 150 Black, Hispanic, and White Women","Judith McFarlane, Ann Malecha, Julia Gist, Kathy Watson, Elizabeth Battern, Iva Hall and Sheila Smith","McFarlane, Judith, et al. “Protection Orders and Intimate Partner Violence: An 18-Month Study of 150 Black, Hispanic, and White Women.” American Journal of Public Health, vol. 94, no. 4, 2004, pp. 613–18.","Special Family Violence unit of the Houston, Texas district attorney’s office","OP Statistics, Victim Safety",Article,American Journal of Public Health,2004,9,"This article explains a study conducted on 150 women, comparing the levels of IPV experienced before and after receiving a 2-year order of protection. Using interviews 3, 6, 12, and 18 months after initial contact with the legal system, the authors find that women who apply and qualify for a protection order, regardless of if they are granted it or not, are less likely to experience violence. Published in 2004, the article also compares this study to similar studies done in the past, emphasizing a woman’s desire to regain control over their lives, the effects of publicizing violence, and why protection orders may not be granted.","Of the women who were granted a protection order, more than half were involved in relationships.",There was no significant difference in the amount of violence reported for women who were or were not granted a protection order.,Abused women who sought a protection order reported significantly lower levels of violence for 18 months after initially contacting the justice system.,McFarlane- Protection Orders and Intimate Partner (9)
Domestic Violence Protection Orders: A Qualitative Examination of Judges' Decision Making Processes,"Christine Agnew-Brune, Kathryn Moracco, Cara Person, J. Michael Bowling","Agnew-Brune, Christine, et al. “Domestic Violence Protective Orders: A Qualitative Examination of Judges’ Decision-Making Processes.” Journal of Interpersonal Violence, vol. 32, no. 13, 2015, pp. 1921–1942., https://doi.org/10.1177/0886260515590126.",University of North Carolina at Chapel Hill,"DV Court: Judicial Knowledge, Order of Protection (OP) Statutes and Case Law",Article,Journal of Interpersonal Violence,2015,22,"Written in 2015, this research article describes how judges determine whether or not to grant an order of protection, often through heuristics which change from person to person. The three main heuristics judges use are their judgments on what meets the threshold for a threatening and/or harmful incident, the involvement of children, and how much they believe they will regret their decision. To reduce bias among judges in IPV cases, the researchers recommend training judges more thoroughly on IPV so they rely less on heuristics, creating domestic violence courts, increasing IPV advocates in the court, and changing the OP form.",. Judges rely on heuristics to determine if a necessary threshold of violence has been met to grant the OP.,Judges determine whether to grant the OP based on the role of children in the relationship and the survivor’s demeanor.,Judges rely on the perceived amount of regret they feel they will face based on whether they grant the order or not when making their decision.,Agnew-Brune- Domestic Violence Protection Orders: A (22)
Protection Orders: A Procedural Pacifier or a Vigorously Enforced Protection Tool- A Discussion of the Tenth Circuit's Decision in Gonzalez v Castle Rock,Michael Mattis,"Mattis, Michael. “Protection Orders: A Procedural Pacifier or a Vigorously Enforced Protection Tool - A Discussion of the Tenth Circuit’s Decision in Gonzales v. Castle Rock.” Denver Law Review, vol. 82, no. 3, 2005, pp. 519–37.",University of Denver Sturm College of Law,"OP Statutes and Case Law, DV Court: Enforcement",Article,Denver Law Review,2020,21,"Published in 2005, this paper discussed the protection order as a tool with the intentions of helping victims of domestic violence while rarely doing so. The author discusses the difference between substantive due process with the case of DeShaney v. Winnebago County Department of Social Services and procedural due process with the case of Gonzales v. City of Castle Rock. The author argues that the DeShaney case allowed for a claim on procedural due process with the state’s potential liability to protect as well as the opportunity for a “failure-to-protect” case. With this precedent, the paper discusses how the Gonzales case is helpful by leaving a foundation for victims of DV to have their OP enforcement requests checked and the ability to hold enough action against the police and state for refusing enforcement.",The DeShaney case recognized how procedural due process rights can support the rights of the victim in claiming the potential duty of the state to protect and the idea that a state’s “failure-to-protect” can be a constitutional violation.,The concern of an endless number of lawsuits being brought to the state was a main reason why dissenters in the Gonzales case did not want to expand state protective services under the 14th amendment.,Gonzales v. Castle Rock provided the foundation for DV victims to get their OP enforcement requests evaluated and hold enough action against the police and state for refusing enforcement of OPs.,Mattis- Protection Orders: A Procedural Pacifier (21)
Protective Orders: Questions and Conundrums,"TK Logan, Lisa Shannon, Robert Walker, and Teri Marie Faragher",,University of Kentucky and DV Prevention Board,"OP Statistics, ",Article,"Trauma, Violence and Abuse",2006,32,,,,,Logan- Protective Orders Questions and Conundrums
Protective Orders in Rural and Urban Areas,"TK Logan, Lisa Shannon and Robert Walker",,University of Kentucky,"OP Statistics, ",Article,Violence Against Women Journal,2005,36,,,,,Logan- Protective Orders in Rural and
Reconceiving Civil protection Orders for Domestic Violence: Can Law Help End the Abuse without Ending the Relationship?,Sally F Goldfarb,,Rutgers University School of Law,"OP Statistics, ",Article,Cardozo Law Review,2008,65,,,,,Goldfarb- Reconceiving Civil Protection Orders for (65)
